location,bedrooms,bathrooms,area,price
DHA Phase 2,3,5,12 Marla,41754689
G-13,4,6,5 Marla,19219461
DHA Phase 2,6,7,23 Marla,78114462
F-10,8,9,17 Marla,91747900
F-10,3,5,13 Marla,66021539
DHA Phase 2,3,4,5 Marla,19338937
G-13,5,6,39 Marla,109786774
G-13,8,10,33 Marla,93710846
Bahria Town,6,7,38 Marla,99816323
Bahria Town,4,5,28 Marla,72674212
Bahria Town,5,7,13 Marla,39469712
F-10,9,9,15 Marla,85011395
G-13,8,9,33 Marla,96880592
Bahria Town,9,10,23 Marla,60050181
Bahria Town,6,8,23 Marla,64756546
F-10,4,6,11 Marla,52280511
Bahria Town,8,8,19 Marla,48940705
F-10,4,6,27 Marla,132673250
Bahria Town,9,10,27 Marla,74023746
G-13,6,7,13 Marla,45433496
F-10,7,8,32 Marla,161993873
F-10,4,6,6 Marla,34477123
G-13,4,5,5 Marla,18477203
G-13,5,6,25 Marla,66906662
F-10,6,8,11 Marla,58924037
Bahria Town,4,6,5 Marla,17321648
F-10,6,7,38 Marla,185100712
Bahria Town,4,4,5 Marla,17022241
G-13,9,9,17 Marla,56947237
G-13,9,9,16 Marla,51537037
Bahria Town,9,9,39 Marla,106812516
Bahria Town,9,10,30 Marla,77680051
G-13,5,5,16 Marla,44500169
Bahria Town,4,4,25 Marla,57302233
Bahria Town,9,11,24 Marla,63251477
G-13,8,9,19 Marla,64699410
G-13,3,4,13 Marla,40464846
G-13,4,6,21 Marla,64049106
F-10,4,6,9 Marla,45154864
Bahria Town,6,7,34 Marla,77106527
Bahria Town,4,4,5 Marla,16740575
Bahria Town,6,7,8 Marla,26675357
Bahria Town,8,9,21 Marla,59770064
DHA Phase 2,6,7,8 Marla,32513732
F-10,6,7,10 Marla,52445624
Bahria Town,5,5,21 Marla,49407181
DHA Phase 2,3,5,7 Marla,25512267
F-10,9,10,29 Marla,142840910
G-13,4,4,37 Marla,93704432
G-13,3,4,5 Marla,16694001
F-10,7,7,37 Marla,170983080
DHA Phase 2,5,6,7 Marla,27644975
Bahria Town,9,9,23 Marla,62958772
DHA Phase 2,8,10,21 Marla,77542193
Bahria Town,8,10,23 Marla,63450520
G-13,8,10,40 Marla,108284812
DHA Phase 2,5,7,22 Marla,66565087
DHA Phase 2,4,6,12 Marla,44172531
F-10,6,6,13 Marla,69041894
Bahria Town,6,7,29 Marla,79787756
F-10,5,6,39 Marla,167270806
DHA Phase 2,6,6,8 Marla,34724939
F-10,7,8,38 Marla,164693030
DHA Phase 2,8,8,32 Marla,99472064
G-13,4,5,14 Marla,38102011
DHA Phase 2,6,6,11 Marla,38965106
DHA Phase 2,2,3,6 Marla,20466937
DHA Phase 2,5,6,24 Marla,84329564
F-10,6,7,12 Marla,58863203
F-10,6,7,18 Marla,94704096
F-10,8,10,22 Marla,100362414
F-10,7,7,34 Marla,164551024
DHA Phase 2,9,10,23 Marla,76068155
Bahria Town,9,11,37 Marla,90149986
F-10,7,7,22 Marla,108328093
Bahria Town,5,6,31 Marla,73101474
Bahria Town,3,5,7 Marla,20191040
DHA Phase 2,6,6,29 Marla,89621457
DHA Phase 2,8,9,32 Marla,100137996
G-13,6,6,35 Marla,103669453
G-13,5,7,11 Marla,36621992
Bahria Town,9,10,22 Marla,65874304
G-13,5,7,13 Marla,43936957
F-10,4,5,5 Marla,27145098
G-13,4,5,8 Marla,24453069
DHA Phase 2,8,8,26 Marla,96895586
DHA Phase 2,6,8,32 Marla,114486243
DHA Phase 2,3,3,7 Marla,24594220
F-10,2,4,6 Marla,31464469
DHA Phase 2,5,6,23 Marla,75953902
F-10,5,5,22 Marla,108249847
G-13,8,8,36 Marla,111875298
F-10,6,8,31 Marla,152187424
F-10,4,5,24 Marla,102708832
DHA Phase 2,6,8,10 Marla,38081801
DHA Phase 2,8,8,33 Marla,109159171
DHA Phase 2,6,6,34 Marla,115602892
DHA Phase 2,8,10,25 Marla,93217219
F-10,2,3,6 Marla,31653228
DHA Phase 2,6,8,14 Marla,50595983
Bahria Town,6,8,9 Marla,28109696
G-13,5,7,33 Marla,85379053
G-13,5,5,13 Marla,38473732
G-13,5,6,23 Marla,63055893
DHA Phase 2,4,4,39 Marla,114835436
DHA Phase 2,9,11,37 Marla,124927196
DHA Phase 2,9,11,25 Marla,93451086
F-10,6,6,34 Marla,146698677
DHA Phase 2,3,4,13 Marla,39841662
F-10,4,6,15 Marla,77249330
Bahria Town,6,8,30 Marla,80410736
